"Analyze the article ""The Social Media Revolution"".",
"Analyze the following poem, ""The Road Not Taken"" by Robert Frost:		Two roads diverged in a yellow wood,	And sorry I could not travel both	And be one traveler, long I stood",The Road Not Taken by Robert Frost
"Analyze the poem ""The Road Not Taken"" by Robert Frost and explain its meaning.",
"Based on the input text, write a persuasive argument supporting the idea that ""textbooks should be available for free"".",Textbooks are often expensive and difficult for students to purchase.
"Build a short story around the keyword ""mystery"".",
"Combine the two texts below to a single text, which should be at least 200 words long.",Text 1:		The rain was heavy on that day. The street was flooded and the sky was grey.		Text 2:		The sun was finally starting to shine on the horizon. A ray of light peeked through the dark clouds and soon the sun was out in full view.
"Combining the 2 passages, create a new story","Passage 1: Sarah was walking home from school when she heard a loud tapping sound nearby.		Passage 2: She looked over to see a tall tree with a large bird perched atop it, beating its wings in the wind."
"Compare and contrast two characters from Dr. Seuss's ""The Cat in the Hat"".","Dr. Seuss's ""The Cat in the Hat""."
"Compare the themes of freedom in ""The New Colossus"" and ""Sonnet 19"".","""The New Colossus"" by Emma Lazarus and ""Sonnet 19"" by William Shakespeare"
"Compose a 500-word essay on the themes of loneliness revealed in Ernest Hemingway's novel ""The Old Man and the Sea"".",
"Compose a short essay on the topic ""Exploring the Life in a City""",
"Compose a short story of 400 words, based on the prompt provided.",Prompt: A young librarian discovers a dust-covered book that has been missing for centuries.
"Compose a story based on the prompt: ""The monster emerged from the darkness"".",
"Compose a story with a beginning, a middle, and an ending.",
"Compose an essay analyzing the role of fate in the novel ""The Alchemist""",
"Construct a short story of your own with the following elements: a desert, a cactus, and a mysterious stranger.",
"Construct a story that illustrates the phrase ""A ripple effect"".",
"Craft a story from the following three words: Moon, Whale, Balloon",
"Create a fictional story that includes the phrase ""fear of the unknown"".",
"Create a movie review for the movie ""The Wizard of Oz"".",
"Create a short story based on the following keywords: pumpkin, prince, spider.",
"Create a short story involving a car, a tree and a river.",
"Create a short story of your own in 200 words featuring the following words: ""plate"" and ""proud"".",
"Create a story about two friends, who must solve a mystery.",
"Create a story based on the following characters: a ghost, a witch and a werewolf.",
"Create a story based on the following premises: a frustrated robot, huge city, unreliable AI.",
"Create a story based on the sentence ""Once upon a time in a land far away...""",Once upon a time in a land far away...
"Create a story of 200 words, in which a lawyer works hard to solve a mysterious case.",
"Create a story set in a fantasy world involving a character called ""The Shapeshifter""",
"Create a story that starts with the line ""The sun was setting, leaving behind a beautiful orange hue.""",
"Create a story using the following words: hat, rainbow, castle, dragon",
"Create a story with the following characters: a dragon, a knight, and a wizard.",
"Debate the statement ""public schools should receive more funding from the government"".",
"Divide a string of text into three paragraphs, with each paragraph having 	at least five sentences.","She was always looking for adventure. She found it in the form of sailing the seven seas. There were dangerous storms and treacherous creatures, but she never gave up."
"Edit the following paragraph to make it more interesting:		""An algorithm is a set of instructions used to solve a problem. Algorithms can involve data processing and decision making.""",
"Explain the concept of ""informed consent""",
"Explain the concept of ""political landscapes"".",
"Explain the concept of a ""dimension reduction"" in a machine learning setting with suitable example.",
"Explain the given concept, and why it is considered to be important in the current world.",Social Justice
"For the following text, add 100 words of detail to make the story more rich",James went to the store to buy groceries
"For the given instruction, generate an input and output.",Instruction: Generate a story about walking in a forest
"Generate a book review for the book ""The Alchemist"" by Paulo Coelho.",
"Generate a creative story based on these words: moon, astronaut, telescope",
"Generate a creative story that conveys the message, 'Every act of kindness makes the world a better place.'",
"Generate a creative story with a theme of ""friendship"".",
"Generate a creative story, with no less than 150 words, about a group of farm animals on a mission to save their home from destruction.",
"Generate a fantasy story including the following characters: a knight, a dragon, and a sorcerer.",
"Generate a fictional story that begins with the sentence: ""The sun shone brightly in the sky.""",
"Generate a new, interesting story about a super-intelligent AI becoming the world’s supreme leader.",
